YEAR,TEMP,RAINFALL,SIZE,AUI,NITROGEN,PHOSPHORUS,POTASSIUM,TOTAL,RYIELD
2007,25.67,1215.6,43.81,58.02,12723.3,5203.7,2413.3,20340.3,2131
2008,25.55,1132.1,43.91,57.73,13772.9,5543.3,2334.8,21651,2202
2009,26.05,959.3,45.54,58.8,14419.1,5514.7,2636.3,22570.1,2178
2010,26.03,1200.5,41.92,56.88,15090.5,6506.2,3312.6,24909.3,2125
2011,25.62,1110.1,42.86,58.8,15580,7274,3632.4,26486.4,2239
2012,25.6,1073.5,44.01,58.59,16558.2,8049.7,3514.3,28122.2,2393
2013,25.68,1216.2,42.75,58.5,17300.3,7914.3,2575.5,27790,2461
2014,25.73,1033.7,44.14,59.62,16820.9,6653.4,2061.8,25536.2,2416
2015,25.92,1093.2,44.11,60.15,16750.1,5633.5,2098.9,24482.4,2391
2016,26.2,1083.1,43.5,60.37,16949.6,6098.9,2532.9,25581.3,2400
2017,26.04,1127.1,43.99,60.74,17372.3,6978.8,2401.5,26752.6,2494
2018,25.9,1020.8,43.77,61.48,16735.9,6705.5,2508.5,25949.9,2576
2019,25.86,1288.8,44.16,62.97,16959.3,6854.4,2779.7,26593.4,2638
2020,25.78,1289.6,43.66,64.97,17637.8,6910.2,2680.3,27228.2,2722
2021,25.93,1236.4,45.77,65.4,19101.3,7662,2607,29370.4,2717
2022,26,1257,46.38,65.8,20404,8977.9,3153.7,32535.6,2809
2023,26.15,1099,43.8,66.3,19438.3,7828.5,2529.5,29796.3,2680
